"Query" "KEGG.KO"
"51" "Vcard_DToL03273" "ko04722"
"52" "Vcard_DToL03273" "ko05167"
"53" "Vcard_DToL03273" "map04722"
"54" "Vcard_DToL03273" "map05167"
"55" "Vcard_DToL03271" "ko04722"
"56" "Vcard_DToL03271" "ko05167"
"57" "Vcard_DToL03271" "map04722"
"58" "Vcard_DToL03271" "map05167"
"59" "Vcard_DToL16047" "ko04722"
"60" "Vcard_DToL16047" "map04722"
"61" "Vcard_DToL08434" "ko04722"
"62" "Vcard_DToL08434" "ko05167"
"63" "Vcard_DToL08434" "ko05212"
"64" "Vcard_DToL08434" "map04722"
"65" "Vcard_DToL08434" "map05167"
"66" "Vcard_DToL08434" "map05212"
"67" "Vcard_DToL08435" "ko04722"
"68" "Vcard_DToL08435" "ko05167"
"69" "Vcard_DToL08435" "ko05212"
"70" "Vcard_DToL08435" "map04722"
"71" "Vcard_DToL08435" "map05167"
"72" "Vcard_DToL08435" "map05212"
"73" "Vcard_DToL08494" "ko05167"
"74" "Vcard_DToL08494" "ko05212"
"75" "Vcard_DToL08494" "map05167"
"76" "Vcard_DToL08494" "map05212"
"77" "Vcard_DToL08500" "ko05167"
"78" "Vcard_DToL08500" "map05167"
"79" "Vcard_DToL08538" "ko05167"
"80" "Vcard_DToL08538" "map05167"
"81" "Vcard_DToL08622" "ko05212"
"82" "Vcard_DToL08622" "map05212"
"83" "Vcard_DToL08675" "ko05167"
"84" "Vcard_DToL08675" "map05167"
"85" "Vcard_DToL08720" "ko05167"
"86" "Vcard_DToL08720" "map05167"
"87" "Vcard_DToL08774" "ko04722"
"88" "Vcard_DToL08774" "map04722"
"89" "Vcard_DToL08778" "ko04722"
"90" "Vcard_DToL08778" "map04722"
"91" "Vcard_DToL08929" "ko04722"
"92" "Vcard_DToL08929" "ko05167"
"93" "Vcard_DToL08929" "ko05212"
"94" "Vcard_DToL08929" "map04722"
"95" "Vcard_DToL08929" "map05167"
"96" "Vcard_DToL08929" "map05212"
"97" "Vcard_DToL08930" "ko04722"
"98" "Vcard_DToL08930" "ko05167"
"99" "Vcard_DToL08930" "ko05212"
"100" "Vcard_DToL08930" "map04722"
"101" "Vcard_DToL08930" "map05167"
"102" "Vcard_DToL08930" "map05212"
"103" "Vcard_DToL09043" "ko05167"
"104" "Vcard_DToL09043" "map05167"
"105" "Vcard_DToL09044" "ko05167"
"106" "Vcard_DToL09044" "map05167"
"107" "Vcard_DToL17435" "ko05167"
"108" "Vcard_DToL17435" "ko05212"
"109" "Vcard_DToL17435" "map05167"
"110" "Vcard_DToL17435" "map05212"
"111" "Vcard_DToL17480" "ko05212"
"112" "Vcard_DToL17480" "map05212"
"113" "Vcard_DToL16808" "ko05167"
"114" "Vcard_DToL16808" "map05167"
"115" "Vcard_DToL16809" "ko05167"
"116" "Vcard_DToL16809" "map05167"
"117" "Vcard_DToL17006" "ko05167"
"118" "Vcard_DToL17006" "map05167"
"119" "Vcard_DToL17008" "ko05167"
"120" "Vcard_DToL17008" "map05167"
"121" "Vcard_DToL17010" "ko05167"
"122" "Vcard_DToL17010" "map05167"
"123" "Vcard_DToL17011" "ko05167"
"124" "Vcard_DToL17011" "map05167"
"125" "Vcard_DToL17012" "ko05167"
"126" "Vcard_DToL17012" "map05167"
"127" "Vcard_DToL17053" "ko04722"
"128" "Vcard_DToL17053" "map04722"
"129" "Vcard_DToL07378" "ko04722"
"130" "Vcard_DToL07378" "map04722"
"131" "Vcard_DToL07379" "ko04722"
"132" "Vcard_DToL07379" "map04722"
"133" "Vcard_DToL07411" "ko04722"
"134" "Vcard_DToL07411" "ko05167"
"135" "Vcard_DToL07411" "ko05212"
"136" "Vcard_DToL07411" "map04722"
"137" "Vcard_DToL07411" "map05167"
"138" "Vcard_DToL07411" "map05212"
"139" "Vcard_DToL07510" "ko04722"
"140" "Vcard_DToL07510" "map04722"
"141" "Vcard_DToL11907" "ko05167"
"142" "Vcard_DToL11907" "map05167"
"143" "Vcard_DToL12073" "ko04722"
"144" "Vcard_DToL12073" "map04722"
"145" "Vcard_DToL12075" "ko04722"
"146" "Vcard_DToL12075" "map04722"
"147" "Vcard_DToL12088" "ko04722"
"148" "Vcard_DToL12088" "map04722"
"149" "Vcard_DToL12170" "ko05167"
"150" "Vcard_DToL12170" "map05167"
"151" "Vcard_DToL10302" "ko04722"
"152" "Vcard_DToL10302" "map04722"
"153" "Vcard_DToL10578" "ko04722"
"154" "Vcard_DToL10578" "ko05167"
"155" "Vcard_DToL10578" "ko05212"
"156" "Vcard_DToL10578" "map04722"
"157" "Vcard_DToL10578" "map05167"
"158" "Vcard_DToL10578" "map05212"
"159" "Vcard_DToL12639" "ko05167"
"160" "Vcard_DToL12639" "ko05212"
"161" "Vcard_DToL12639" "map05167"
"162" "Vcard_DToL12639" "map05212"
"163" "Vcard_DToL12641" "ko05167"
"164" "Vcard_DToL12641" "ko05212"
"165" "Vcard_DToL12641" "map05167"
"166" "Vcard_DToL12641" "map05212"
"167" "Vcard_DToL12800" "ko05167"
"168" "Vcard_DToL12800" "map05167"
"169" "Vcard_DToL13094" "ko04722"
"170" "Vcard_DToL13094" "ko05167"
"171" "Vcard_DToL13094" "ko05212"
"172" "Vcard_DToL13094" "map04722"
"173" "Vcard_DToL13094" "map05167"
"174" "Vcard_DToL13094" "map05212"
"175" "Vcard_DToL00028" "ko04722"
"176" "Vcard_DToL00028" "ko05167"
"177" "Vcard_DToL00028" "map04722"
"178" "Vcard_DToL00028" "map05167"
"179" "Vcard_DToL00029" "ko05212"
"180" "Vcard_DToL00029" "map05212"
"181" "Vcard_DToL00037" "ko05212"
"182" "Vcard_DToL00037" "map05212"
"183" "Vcard_DToL00465" "ko04722"
"184" "Vcard_DToL00465" "map04722"
"185" "Vcard_DToL00480" "ko04722"
"186" "Vcard_DToL00480" "map04722"
"187" "Vcard_DToL00664" "ko04722"
"188" "Vcard_DToL00664" "map04722"
"189" "Vcard_DToL00665" "ko04722"
"190" "Vcard_DToL00665" "map04722"
"191" "Vcard_DToL00706" "ko05167"
"192" "Vcard_DToL00706" "map05167"
"193" "Vcard_DToL00703" "ko04722"
"194" "Vcard_DToL00703" "ko05212"
"195" "Vcard_DToL00703" "map04722"
"196" "Vcard_DToL00703" "map05212"
"197" "Vcard_DToL00785" "ko04722"
"198" "Vcard_DToL00785" "map04722"
"199" "Vcard_DToL09782" "ko05167"
"200" "Vcard_DToL09782" "map05167"
"201" "Vcard_DToL09798" "ko04722"
"202" "Vcard_DToL09798" "ko05167"
"203" "Vcard_DToL09798" "ko05212"
"204" "Vcard_DToL09798" "map04722"
"205" "Vcard_DToL09798" "map05167"
"206" "Vcard_DToL09798" "map05212"
"207" "Vcard_DToL09799" "ko04722"
"208" "Vcard_DToL09799" "ko05167"
"209" "Vcard_DToL09799" "ko05212"
"210" "Vcard_DToL09799" "map04722"
"211" "Vcard_DToL09799" "map05167"
"212" "Vcard_DToL09799" "map05212"
"213" "Vcard_DToL09943" "ko04722"
"214" "Vcard_DToL09943" "map04722"
"215" "Vcard_DToL10011" "ko04722"
"216" "Vcard_DToL10011" "ko05167"
"217" "Vcard_DToL10011" "ko05212"
"218" "Vcard_DToL10011" "map04722"
"219" "Vcard_DToL10011" "map05167"
"220" "Vcard_DToL10011" "map05212"
"221" "Vcard_DToL18606" "ko04722"
"222" "Vcard_DToL18606" "ko05167"
"223" "Vcard_DToL18606" "map04722"
"224" "Vcard_DToL18606" "map05167"
"225" "Vcard_DToL18672" "ko05167"
"226" "Vcard_DToL18672" "map05167"
"227" "Vcard_DToL11711" "ko05167"
"228" "Vcard_DToL11711" "map05167"
"229" "Vcard_DToL15866" "ko05212"
"230" "Vcard_DToL15866" "map05212"
"231" "Vcard_DToL03410" "ko05167"
"232" "Vcard_DToL03410" "map05167"
"233" "Vcard_DToL03411" "ko05167"
"234" "Vcard_DToL03411" "map05167"
"235" "Vcard_DToL03422" "ko04722"
"236" "Vcard_DToL03422" "map04722"
"237" "Vcard_DToL03536" "ko05167"
"238" "Vcard_DToL03536" "ko05212"
"239" "Vcard_DToL03536" "map05167"
"240" "Vcard_DToL03536" "map05212"
"241" "Vcard_DToL03661" "ko05167"
"242" "Vcard_DToL03661" "ko05212"
"243" "Vcard_DToL03661" "map05167"
"244" "Vcard_DToL03661" "map05212"
"245" "Vcard_DToL03818" "ko04722"
"246" "Vcard_DToL03818" "map04722"
"247" "Vcard_DToL03977" "ko04722"
"248" "Vcard_DToL03977" "ko05167"
"249" "Vcard_DToL03977" "map04722"
"250" "Vcard_DToL03977" "map05167"
"251" "Vcard_DToL13856" "ko05167"
"252" "Vcard_DToL13856" "map05167"
"253" "Vcard_DToL18280" "ko04722"
"254" "Vcard_DToL18280" "map04722"
"255" "Vcard_DToL18281" "ko04722"
"256" "Vcard_DToL18281" "map04722"
"257" "Vcard_DToL18477" "ko04722"
"258" "Vcard_DToL18477" "ko05167"
"259" "Vcard_DToL18477" "map04722"
"260" "Vcard_DToL18477" "map05167"
"261" "Vcard_DToL01005" "ko04722"
"262" "Vcard_DToL01005" "ko05167"
"263" "Vcard_DToL01005" "map04722"
"264" "Vcard_DToL01005" "map05167"
"265" "Vcard_DToL01426" "ko04722"
"266" "Vcard_DToL01426" "map04722"
"267" "Vcard_DToL01427" "ko04722"
"268" "Vcard_DToL01427" "map04722"
"269" "Vcard_DToL01505" "ko04722"
"270" "Vcard_DToL01505" "map04722"
"271" "Vcard_DToL09081" "ko05212"
"272" "Vcard_DToL09081" "map05212"
"273" "Vcard_DToL09187" "ko04722"
"274" "Vcard_DToL09187" "ko05167"
"275" "Vcard_DToL09187" "map04722"
"276" "Vcard_DToL09187" "map05167"
"277" "Vcard_DToL09186" "ko04722"
"278" "Vcard_DToL09186" "ko05167"
"279" "Vcard_DToL09186" "map04722"
"280" "Vcard_DToL09186" "map05167"
"281" "Vcard_DToL09403" "ko04722"
"282" "Vcard_DToL09403" "ko05167"
"283" "Vcard_DToL09403" "map04722"
"284" "Vcard_DToL09403" "map05167"
"285" "Vcard_DToL09404" "ko04722"
"286" "Vcard_DToL09404" "ko05167"
"287" "Vcard_DToL09404" "map04722"
"288" "Vcard_DToL09404" "map05167"
"289" "Vcard_DToL05466" "ko05167"
"290" "Vcard_DToL05466" "map05167"
"291" "Vcard_DToL05872" "ko05212"
"292" "Vcard_DToL05872" "map05212"
"293" "Vcard_DToL05873" "ko05212"
"294" "Vcard_DToL05873" "map05212"
"295" "Vcard_DToL06141" "ko05212"
"296" "Vcard_DToL06141" "map05212"
"297" "Vcard_DToL06298" "ko05167"
"298" "Vcard_DToL06298" "map05167"
"299" "Vcard_DToL13140" "ko05167"
"300" "Vcard_DToL13140" "map05167"
"301" "Vcard_DToL13342" "ko04722"
"302" "Vcard_DToL13342" "map04722"
"303" "Vcard_DToL13344" "ko04722"
"304" "Vcard_DToL13344" "map04722"
"305" "Vcard_DToL13572" "ko05167"
"306" "Vcard_DToL13572" "ko05212"
"307" "Vcard_DToL13572" "map05167"
"308" "Vcard_DToL13572" "map05212"
"309" "Vcard_DToL13574" "ko05167"
"310" "Vcard_DToL13574" "ko05212"
"311" "Vcard_DToL13574" "map05167"
"312" "Vcard_DToL13574" "map05212"
"313" "Vcard_DToL13765" "ko04722"
"314" "Vcard_DToL13765" "ko05167"
"315" "Vcard_DToL13765" "map04722"
"316" "Vcard_DToL13765" "map05167"
"317" "Vcard_DToL13813" "ko05167"
"318" "Vcard_DToL13813" "map05167"
"319" "Vcard_DToL14532" "ko04722"
"320" "Vcard_DToL14532" "map04722"
"321" "Vcard_DToL14534" "ko04722"
"322" "Vcard_DToL14534" "map04722"
"323" "Vcard_DToL14790" "ko05167"
"324" "Vcard_DToL14790" "map05167"
"325" "Vcard_DToL14792" "ko05167"
"326" "Vcard_DToL14792" "map05167"
"327" "Vcard_DToL14793" "ko05167"
"328" "Vcard_DToL14793" "map05167"
"329" "Vcard_DToL14795" "ko05167"
"330" "Vcard_DToL14795" "map05167"
"331" "Vcard_DToL14796" "ko05167"
"332" "Vcard_DToL14796" "map05167"
"333" "Vcard_DToL14818" "ko05212"
"334" "Vcard_DToL14818" "map05212"
"335" "Vcard_DToL06409" "ko04722"
"336" "Vcard_DToL06409" "ko05167"
"337" "Vcard_DToL06409" "map04722"
"338" "Vcard_DToL06409" "map05167"
"339" "Vcard_DToL06555" "ko04722"
"340" "Vcard_DToL06555" "map04722"
"341" "Vcard_DToL06715" "ko04722"
"342" "Vcard_DToL06715" "ko05167"
"343" "Vcard_DToL06715" "ko05212"
"344" "Vcard_DToL06715" "map04722"
"345" "Vcard_DToL06715" "map05167"
"346" "Vcard_DToL06715" "map05212"
"347" "Vcard_DToL06817" "ko04722"
"348" "Vcard_DToL06817" "map04722"
"349" "Vcard_DToL07001" "ko04722"
"350" "Vcard_DToL07001" "ko05167"
"351" "Vcard_DToL07001" "map04722"
"352" "Vcard_DToL07001" "map05167"
"353" "Vcard_DToL17146" "ko04722"
"354" "Vcard_DToL17146" "map04722"
"355" "Vcard_DToL17176" "ko05167"
"356" "Vcard_DToL17176" "map05167"
"357" "Vcard_DToL15167" "ko05212"
"358" "Vcard_DToL15167" "map05212"
"359" "Vcard_DToL15217" "ko05167"
"360" "Vcard_DToL15217" "map05167"
"361" "Vcard_DToL15326" "ko05212"
"362" "Vcard_DToL15326" "map05212"
"363" "Vcard_DToL05001" "ko04722"
"364" "Vcard_DToL05001" "map04722"
"365" "Vcard_DToL05050" "ko05167"
"366" "Vcard_DToL05050" "map05167"
"367" "Vcard_DToL05359" "ko04722"
"368" "Vcard_DToL05359" "map04722"
"369" "Vcard_DToL05360" "ko04722"
"370" "Vcard_DToL05360" "map04722"
"371" "Vcard_DToL05362" "ko04722"
"372" "Vcard_DToL05362" "map04722"
"373" "Vcard_DToL01773" "ko04722"
"374" "Vcard_DToL01773" "ko05167"
"375" "Vcard_DToL01773" "ko05212"
"376" "Vcard_DToL01773" "map04722"
"377" "Vcard_DToL01773" "map05167"
"378" "Vcard_DToL01773" "map05212"
"379" "Vcard_DToL01843" "ko04722"
"380" "Vcard_DToL01843" "ko05167"
"381" "Vcard_DToL01843" "map04722"
"382" "Vcard_DToL01843" "map05167"
"383" "Vcard_DToL02132" "ko04722"
"384" "Vcard_DToL02132" "map04722"
"385" "Vcard_DToL02133" "ko04722"
"386" "Vcard_DToL02133" "map04722"
"387" "Vcard_DToL02327" "ko04722"
"388" "Vcard_DToL02327" "ko05167"
"389" "Vcard_DToL02327" "ko05212"
"390" "Vcard_DToL02327" "map04722"
"391" "Vcard_DToL02327" "map05167"
"392" "Vcard_DToL02327" "map05212"
"393" "Vcard_DToL02328" "ko04722"
"394" "Vcard_DToL02328" "ko05167"
"395" "Vcard_DToL02328" "ko05212"
"396" "Vcard_DToL02328" "map04722"
"397" "Vcard_DToL02328" "map05167"
"398" "Vcard_DToL02328" "map05212"
"399" "Vcard_DToL02544" "ko05167"
"400" "Vcard_DToL02544" "ko05212"
"401" "Vcard_DToL02544" "map05167"
"402" "Vcard_DToL02544" "map05212"
